Abkleben für Politur/FX3_0486 | 1.4s | 25p
Abkleben für Politur/FX3_0487 | 1.4s | 25p
Abkleben für Politur/FX3_0488 | 15.4s | 25p
Abkleben für Politur/FX3_0489 | 4.8s | 50p
Abkleben für Politur/FX3_0490 | 4.8s | 50p
Abkleben für Politur/FX3_0491 | 9.1s | 50p
Abkleben für Politur/FX3_0503 | 7.7s | 100p
Allgemein/FX3_0370 | 4.8s | 50p
Allgemein/FX3_0373 | 11.5s | 50p
Allgemein/FX3_0474 | 5.3s | 100p
Allgemein/FX3_0475 | 11.5s | 100p
Allgemein/FX3_0476 | 5.8s | 100p
Allgemein/FX3_0477 | 7.2s | 100p
Allgemein/FX3_0478 | 8.2s | 100p
Allgemein/FX3_0508 | 10.6s | 50p
Allgemein/FX3_0509 | 18.2s | 50p
Allgemein/FX3_0510 | 19.2s | 50p
Allgemein/a7MK4_20260730_0044 | 1.9s | 50p
Allgemein/a7MK4_20260730_0045 | 2.4s | 50p
Bereich Polieren/FX3_0448 | 24.5s | 100p
Bereich Polieren/FX3_0449 | 26.9s | 100p
Bereich Polieren/FX3_0450 | 30.7s | 100p
Bereich Polieren/FX3_0511 | 70.1s | 50p
Bereich Polieren/a7MK4_20260730_0040 | 22.1s | 50p
Bereich Polieren/a7MK4_20260730_0041 | 6.2s | 50p
Bereich Polieren/a7MK4_20260730_0042 | 5.8s | 50p
Bereich Polieren/a7MK4_20260730_0043 | 5.8s | 50p
Bereich Polieren/a7MK4_20260730_0046 | 10.1s | 50p
Bereich Polieren/a7MK4_20260730_0047 | 17.8s | 50p
Bereich Polieren/a7MK4_20260730_0048 | 8.2s | 50p
Bereich Polieren/a7MK4_20260730_0049 | 2.4s | 50p
Bereich Polieren/a7MK4_20260730_0050 | 4.8s | 50p
Bereich Polieren/a7MK4_20260730_0051 | 0.5s | 50p
Bereich Polieren/a7MK4_20260730_0052 | 6.7s | 50p
Bereich Polieren/a7MK4_20260730_0053 | 4.3s | 50p
Bereich Polieren/a7MK4_20260730_0054 | 3.4s | 50p
Bereich Polieren/a7MK4_20260730_0055 | 3.8s | 50p
Bereich Polieren/a7MK4_20260730_0056 | 2.9s | 50p
Bereich Polieren/a7MK4_20260730_0057 | 5.3s | 50p
Bereich Polieren/a7MK4_20260730_0058 | 5.3s | 50p
Bereich Polieren/a7MK4_20260731_0095 | 2.9s | 50p
Bereich Polieren/a7MK4_20260731_0096 | 5.3s | 50p
Bereich Polieren/a7MK4_20260731_0097 | 30.2s | 50p
Bereich Polieren/a7MK4_20260731_0098 | 12.0s | 50p
Innenraum/FX3_0451 | 10.6s | 100p
Innenraum/FX3_0452 | 18.7s | 100p
Innenraum/FX3_0453 | 4.8s | 100p
Innenraum/FX3_0454 | 4.8s | 100p
Innenraum/FX3_0455 | 7.2s | 100p
Innenraum/FX3_0456 | 11.0s | 100p
Innenraum/FX3_0457 | 4.3s | 100p
Innenraum/FX3_0458 | 11.0s | 100p
Innenraum/FX3_0459 | 48.0s | 100p
Innenraum/FX3_0460 | 1.9s | 100p
Innenraum/FX3_0461 | 31.7s | 100p
Innenraum/FX3_0462 | 0.5s | 100p
Innenraum/FX3_0463 | 4.8s | 100p
Innenraum/FX3_0464 | 7.7s | 100p
Innenraum/FX3_0465 | 19.7s | 100p
Innenraum/FX3_0466 | 14.9s | 100p
Innenraum/FX3_0467 | 14.9s | 100p
Innenraum/FX3_0468 | 30.7s | 100p
Innenraum/FX3_0469 | 5.3s | 100p
Innenraum/FX3_0470 | 6.2s | 100p
Innenraum/FX3_0471 | 10.1s | 100p
Innenraum/FX3_0472 | 11.0s | 100p
Innenraum/FX3_0473 | 4.8s | 100p
Innenraum/FX3_0479 | 5.3s | 100p
Innenraum/FX3_0480 | 8.6s | 100p
Innenraum/FX3_0481 | 13.4s | 100p
Innenraum/FX3_0482 | 7.7s | 100p
Innenraum/FX3_0483 | 3.4s | 100p
Innenraum/FX3_0484 | 0.5s | 1p
Innenraum/FX3_0485 | 151.7s | 1p
Innenraum/FX3_0504 | 13.4s | 100p
Innenraum/FX3_0505 | 5.8s | 100p
Innenraum/FX3_0506 | 4.8s | 100p
Innenraum/FX3_0507 | 8.2s | 100p
Innenraum/a7MK4_20260730_0072 | 29.8s | 50p
Innenraum/a7MK4_20260730_0073 | 1.4s | 50p
Innenraum/a7MK4_20260730_0074 | 15.4s | 50p
Innenraum/a7MK4_20260730_0075 | 3.8s | 50p
Innenraum/a7MK4_20260730_0076 | 10.6s | 50p
Innenraum/a7MK4_20260730_0077 | 19.7s | 50p
Innenraum/a7MK4_20260730_0078 | 1.4s | 50p
Innenraum/a7MK4_20260730_0079 | 15.4s | 50p
Innenraum/a7MK4_20260730_0080 | 27.8s | 50p
Innenraum/a7MK4_20260730_0081 | 3.4s | 50p
Innenraum/a7MK4_20260730_0082 | 1.9s | 50p
Innenraum/a7MK4_20260730_0083 | 22.6s | 50p
Innenraum/a7MK4_20260730_0084 | 3.8s | 50p
Innenraum/a7MK4_20260730_0085 | 38.9s | 50p
Innenraum/a7MK4_20260730_0086 | 4.8s | 50p
Innenraum/a7MK4_20260730_0087 | 9.6s | 50p
Innenraum/a7MK4_20260730_0088 | 4.8s | 50p
Kennzeichen/FX3_0512 | 22.1s | 50p
Kennzeichen/FX3_0513 | 13.0s | 50p
Kennzeichen/FX3_0514 | 20.6s | 50p
Kennzeichen/FX3_0515 | 10.1s | 50p
Kennzeichen/FX3_0516 | 12.0s | 50p
Kennzeichen/FX3_0517 | 4.3s | 50p
Lack entfetten/a7MK4_20260731_0089 | 48.0s | 50p
Lack entfetten/a7MK4_20260731_0090 | 58.6s | 50p
Lack entfetten/a7MK4_20260731_0091 | 20.6s | 50p
Lack entfetten/a7MK4_20260731_0092 | 5.3s | 50p
Lack entfetten/a7MK4_20260731_0093 | 14.4s | 50p
Lack entfetten/a7MK4_20260731_0094 | 1.4s | 50p
Politurstufe 1/FX3_0518 | 49.0s | 50p
Politurstufe 1/FX3_0519 | 8.2s | 50p
Politurstufe 1/FX3_0520 | 50.4s | 50p
Politurstufe 1/FX3_0521 | 52.3s | 1p
Politurstufe 1/FX3_0522 | 2.4s | 1p
Politurstufe 1/FX3_0523 | 15.8s | 1p
Politurstufe 1/FX3_0529 | 31.7s | 50p
Politurstufe 1/FX3_0530 | 5.8s | 50p
Politurstufe 1/FX3_0531 | 13.9s | 50p
Politurstufe 1/FX3_0532 | 26.9s | 50p
Politurstufe 1/FX3_0533 | 11.0s | 50p
Politurstufe 1/FX3_0534 | 7.7s | 50p
Politurstufe 1/FX3_0535 | 3.4s | 50p
Politurstufe 1/FX3_0536 | 4.3s | 100p
Politurstufe 1/FX3_0537 | 19.2s | 100p
Politurstufe 1/FX3_0538 | 4.8s | 100p
Politurstufe 1/FX3_0539 | 3.8s | 100p
Politurstufe 1/FX3_0540 | 1.0s | 100p
Politurstufe 1/FX3_0541 | 15.4s | 100p
Reinfahren/FX3_0442 | 19.7s | 100p
Reinfahren/FX3_0443 | 38.4s | 25p
Waschen/FX3_0374 | 20.2s | 50p
Waschen/FX3_0375 | 12.0s | 50p
Waschen/FX3_0376 | 11.5s | 50p
Waschen/FX3_0377 | 46.1s | 50p
Waschen/FX3_0378 | 8.2s | 50p
