ordner,datei,dauer_s,gb
"Auslieferungsraum",FX3_0604.MP4,22,0.6
"Auslieferungsraum",FX3_0605.MP4,7,0.2
"Auslieferungsraum",FX3_0606.MP4,8,0.3
"Auslieferungsraum",FX3_0607.MP4,5,0.2
"Auslieferungsraum",FX3_0608.MP4,19,0.5
"Auslieferungsraum",FX3_0609.MP4,2,0.1
"Auslieferungsraum",FX3_0610.MP4,5,0.2
"Auslieferungsraum",FX3_0611.MP4,18,0.5
"Auslieferungsraum",FX3_0612.MP4,20,0.6
"Auslieferungsraum",FX3_0613.MP4,22,0.6
"Auslieferungsraum",FX3_0614.MP4,0,0.1
"Auslieferungsraum",FX3_0615.MP4,6,0.2
"Auslieferungsraum",FX3_0616.MP4,10,0.3
"Auslieferungsraum",FX3_0617.MP4,4,0.1
"Kaffeepause",FX3_0589.MP4,10,0.3
"Kaffeepause",FX3_0590.MP4,67,1.8
"Kaffeepause",FX3_0591.MP4,5,0.2
"Kaffeepause",FX3_0592.MP4,10,0.3
"Kaffeepause",FX3_0593.MP4,40,1.1
"Kundenberatung Truck Innenraum",FX3_0568.MP4,73,1.9
"Kundenberatung Truck Innenraum",FX3_0569.MP4,9,0.3
"Kundenberatung Truck Innenraum",FX3_0570.MP4,22,0.6
"Kundenberatung Truck Innenraum",FX3_0571.MP4,7,0.3
"Kundenberatung Truck Innenraum",FX3_0572.MP4,2,0.1
"Kundenberatung Truck Innenraum",FX3_0581.MP4,4,0.1
"Kundenberatung Truck Innenraum",FX3_0582.MP4,70,1.9
"Kundenberatung am Bus",FX3_0557.MP4,48,1.3
"Kundenberatung am Bus",FX3_0558.MP4,30,0.8
"Kundenberatung am Bus",FX3_0559.MP4,19,0.5
"Kundenberatung am Bus",FX3_0560.MP4,42,1.1
"Kundenberatung am Bus",FX3_0561.MP4,9,0.3
"Kundenberatung am Bus",FX3_0562.MP4,9,0.3
"Kundenberatung am Feuerwehrauto",FX3_0583.MP4,9,0.3
"Kundenberatung am Feuerwehrauto",FX3_0584.MP4,7,0.2
"Kundenberatung am Feuerwehrauto",FX3_0585.MP4,24,0.7
"Kundenberatung am Feuerwehrauto",FX3_0586.MP4,53,1.4
"Kundenberatung am Feuerwehrauto",FX3_0587.MP4,19,0.5
"Kundenberatung am Feuerwehrauto",FX3_0588.MP4,24,0.7
"Kundenberatung am TGE",FX3_0563.MP4,96,2.6
"Kundenberatung am TGE",FX3_0564.MP4,31,0.9
"Kundenberatung am TGE",FX3_0565.MP4,12,0.3
"Kundenberatung am Truck",FX3_0566.MP4,122,3.2
"Kundenberatung am Truck",FX3_0567.MP4,5,0.2
"Laptop arbeit",FX3_0594.MP4,0,0.1
"Laptop arbeit",FX3_0595.MP4,31,0.9
"Laptop arbeit",FX3_0596.MP4,3,0.1
"Laptop arbeit",FX3_0597.MP4,38,1.0
"Laptop arbeit",FX3_0598.MP4,11,0.3
"Laptop arbeit",FX3_0599.MP4,3,0.1
"Präsentation",FX3_0600.MP4,3,0.1
"Präsentation",FX3_0601.MP4,20,0.5
"Präsentation",FX3_0602.MP4,11,0.3
"Präsentation",FX3_0603.MP4,7,0.3
"Schlüsselübergabe Truck",FX3_0579.MP4,11,0.3
"Schlüsselübergabe Truck",FX3_0580.MP4,13,0.4
"Telefonieren Roman",FX3_0551.MP4,24,0.7
"Telefonieren Roman",FX3_0552.MP4,8,0.3
"Telefonieren Roman",FX3_0553.MP4,9,0.3
"Telefonieren Viktoria",FX3_0548.MP4,12,0.3
"Telefonieren Viktoria",FX3_0549.MP4,8,0.3
"Telefonieren Viktoria",FX3_0550.MP4,30,0.8
"Truck Konfiguration mit Kunden",FX3_0573.MP4,6,0.2
"Truck Konfiguration mit Kunden",FX3_0574.MP4,35,0.9
"Truck Konfiguration mit Kunden",FX3_0575.MP4,4,0.1
"Truck Konfiguration mit Kunden",FX3_0576.MP4,18,0.5
"Truck Konfiguration mit Kunden",FX3_0577.MP4,12,0.4
"Truck Konfiguration mit Kunden",FX3_0578.MP4,17,0.5
"Verkäufer betreten Bus Forum",FX3_0554.MP4,21,0.6
"Verkäufer betreten Bus Forum",FX3_0555.MP4,51,1.4
"Verkäufer betreten Bus Forum",FX3_0556.MP4,13,0.4
"Verkäufer betreten Truck Forum",FX3_0618.MP4,30,0.8
