dreh,relpath,size_gb,dur_min,breite,hoehe,audio_kanaele
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0830.MP4,21.24,19.6,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0837.MP4,14.29,13.2,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/02 Cam - A7c - Bennet/Video/C3668.MP4,12.31,16.8,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0924.MP4,11.85,10.9,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/02 Cam - A7c - Bennet/Video/C3672.MP4,11.15,15.1,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0858.MP4,10.77,9.9,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/02 Cam - A7c - Bennet/Video/C3671.MP4,9.74,13.2,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/02 Cam - A7c - Bennet/Video/C3675.MP4,9.34,12.6,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0860.MP4,8.89,8.2,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0925.MP4,7.75,7.2,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0859.MP4,5.4,5.0,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0861.MP4,5.4,5.0,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0908.MP4,3.15,2.9,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0835.MP4,2.79,2.6,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0897.MP4,2.38,2.2,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0863.MP4,1.95,1.2,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0885.MP4,1.68,1.1,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/02 Cam - A7c - Bennet/Video/C3669.MP4,1.66,2.2,3840,2160,2
01_Projekt-TikTok-Ads_April_2023,01_Projekt-TikTok-Ads_April_2023/03_Medien/01_Footage/01 Cam - A7iv - Jan/Hauptkamera20230421_0864.MP4,1.54,1.0,3840,2160,2
