# bauer-solar — 03_BauerSolar-Modul_V1.srt
# 41 Seiten, 159 Woerter; 11 Seiten (ganz oder teils) sichtbar
# freie Fenster (s): 0.00–3.10, 6.40–7.40, 10.40–10.90, 14.50–15.20, 18.10–18.60, 24.40–25.10, 35.10–36.30
# Spalte: SICHT = ganz sichtbar, nn% = teilweise, · = liegt komplett unter einer Animation

  1    0.12 –   1.67  SICHT Das ist unser Solarmodul.
  2    1.72 –   2.76  SICHT Wir verwenden die Module
  3    2.68 –   3.95   34%  von Bauer Solar.
  4    4.00 –   5.31    ·   Das ist eine German Brand.
  5    5.36 –   6.12    ·   Haben hier jetzt gerade
  6    6.04 –   7.12   67%  speziell vor uns
  7    7.04 –   9.99   12%  das 460-Watt-Solarmodul von denen.
  8   10.04 –  10.40    ·   Und das ist
  9   10.32 –  12.87   20%  quasi ein Glas-Glas-Bifazialmodul.
 10   12.92 –  13.76    ·   Wie man jetzt hier sieht,
 11   13.68 –  16.11   29%  man kann direkt die Zellen erkennen.
 12   16.16 –  17.40    ·   Kann wirklich auch das Modul
 13   17.32 –  19.00   30%  theoretisch als Solar-Zaun
 14   18.92 –  19.84    ·   verwenden, weil ich habe
 15   19.72 –  20.96    ·   von beiden Seiten die Produktion,
 16   20.88 –  22.08    ·   weil die Zellen sind auch
 17   22.00 –  23.71    ·   natürlich von der Rückseite aktiv.
 18   23.76 –  24.44    ·   Zusätzlich haben
 19   24.36 –  26.60   31%  wir hier Stäubli-Stecker und keine
 20   26.52 –  28.12    ·   Standard-MC4-Stecker, sondern
 21   28.04 –  29.32    ·   das sind direkt Markenstecker
 22   29.24 –  30.71    ·   dran, 2 mm
 23   30.76 –  31.83    ·   Stärke, das heißt,
 24   31.88 –  32.60    ·   ihr habt direkt
 25   32.52 –  34.43    ·   Hagelwiderstandsklasse 3.
 26   34.48 –  35.52   41%  Vergleichsweise andere
 27   35.44 –  37.31   46%  Hersteller haben nur 1,6 mm.
 28   37.36 –  38.95    ·   Also die sind extrem robust.
 29   39.00 –  39.80    ·   Und wir haben
 30   39.72 –  41.03    ·   die Brandschutzklasse A.
 31   41.08 –  41.84    ·   Wer es mir natürlich nicht
 32   41.76 –  43.08    ·   glaubt, dass die Module
 33   43.00 –  44.67    ·   wirklich so robust sind,
 34   44.72 –  45.87    ·   kann natürlich einfach
 35   45.92 –  46.72    ·   vorherige Videos anschauen.
 36   46.60 –  48.99    ·   Da zeige ich euch genau,
 37   49.04 –  50.40    ·   dass die Module den Härtetest
 38   50.32 –  52.32    ·   bestehen, Feuertest vor allem
 39   52.24 –  53.84    ·   den Schlagtest mit Gewicht.
 40   53.76 –  55.28    ·   Link ist unten drin, schaut
 41   55.20 –  56.56    ·   es euch gerne an.
