# gottwollshausen — 01_Projekt-Gottwolfshausen_V1.scribe.json
# 43 Seiten, 158 Woerter; 10 Seiten (ganz oder teils) sichtbar
# freie Fenster (s): 0.00–1.30, 5.30–6.20, 10.20–10.90, 17.00–18.90, 24.20–25.60, 46.20–46.80
# Spalte: SICHT = ganz sichtbar, nn% = teilweise, · = liegt komplett unter einer Animation

  1    0.00 –   0.98  SICHT Der Netzbetreiber kann
  2    0.92 –   2.57   22%  deine Anlage drosseln,
  3    2.62 –   3.66    ·   das heißt dann auch beim
  4    3.62 –   4.48    ·   Eigenverbrauch, nicht
  5    4.46 –   5.83   39%  nur die Stromeinspeisung.
  6    5.88 –   6.56   48%  Wir sind hier gerade
  7    6.50 –   7.46    ·   bei einem Bauvorhaben, wo
  8    7.42 –   9.76    ·   wir insgesamt 54 Solarmodule
  9    9.72 –  10.51    ·   installieren.
 10   10.56 –  11.62   31%  Hier verbauen wir unsere
 11   11.62 –  13.75    ·   Bauer-Solarmodule mit 460 Watt.
 12   13.80 –  14.84    ·   Insgesamt hat der Kunde
 13   14.82 –  16.34    ·   noch einen Stromspeicher von 18
 14   16.36 –  17.38   37%  Kilowattstunden und
 15   17.32 –  18.60  SICHT hier kommen wir dann circa
 16   18.58 –  20.48   18%  auf 24.000 Kilowattstunden pro
 17   20.48 –  22.07    ·   Jahr, was wir hier produzieren.
 18   22.12 –  23.44    ·   Warum bleibt man unter 25
 19   23.46 –  24.19    ·   Kilowatt-Peak?
 20   24.24 –  25.78   89%  Das Tarifschaltgerät wird
 21   25.78 –  27.58    ·   immer benötigt ab 25
 22   27.60 –  29.00    ·   Kilowatt-Peak, kostet pauschal
 23   28.96 –  29.92    ·   je nach Netzbetreiber
 24   29.90 –  31.71    ·   irgendwas zwischen 600 Euro.
 25   31.76 –  33.06    ·   Die Anlage wird reduziert,
 26   33.06 –  34.22    ·   also der Netzbetreiber kann
 27   34.24 –  35.76    ·   deine Anlage drosseln,
 28   35.74 –  36.78    ·   das heißt dann auch beim
 29   36.74 –  37.60    ·   Eigenverbrauch, nicht
 30   37.58 –  39.18    ·   nur die Stromeinspeisung
 31   39.22 –  40.54    ·   und es entstehen einfach höhere
 32   40.52 –  41.58    ·   Montagekosten.
 33   41.54 –  42.68    ·   Wenn deine Stromrechnung
 34   42.68 –  43.80    ·   dir auch die Haare vom Kopf
 35   43.76 –  45.10    ·   stellt, dann wird es endlich
 36   45.08 –  45.66    ·   Zeit, dass du dich
 37   45.62 –  46.80   51%  bei uns meldest, dass wir
 38   46.76 –  48.06    ·   dir einmal eine komplette Analyse
 39   48.04 –  49.06    ·   machen und dann dir
 40   49.00 –  50.34    ·   auf jeden Fall auch eine PV-Anlage
 41   50.30 –  51.76    ·   mit mindestens 70 Prozent
 42   51.72 –  52.91    ·   Autarkiegrad bauen.
 43   52.96 –  54.00    ·   Ruf an.
